Customer ID,Order Date,Order Amount,Product,Category,Signup Date
CUST_0042,2024-09-06,353.0,Hat,Clothing,2024-03-11
CUST_0600,2025-06-25,66.0,Vase,Home,2024-04-05
CUST_0329,2024-07-19,460.0,Mouse,Electronics,2024-04-03
CUST_0968,2025-03-18,252.0,Lamp,Home,2024-02-02
CUST_0119,2025-09-07,356.0,Lamp,Home,2025-02-13
CUST_0056,2025-09-20,338.0,Cushion,Home,2025-08-27
CUST_0779,2024-07-22,602.0,Mouse,Electronics,2024-05-31
CUST_0902,2025-06-05,684.0,Laptop,Electronics,2024-01-26
CUST_0163,2025-10-12,302.0,Lamp,Home,2025-09-03
CUST_0862,2025-06-21,351.0,T-Shirt,Clothing,2025-05-23
CUST_0734,2025-03-16,232.0,Cushion,Home,2024-05-22
CUST_0250,2025-10-07,216.0,Rug,Home,2025-02-16
CUST_0765,2024-06-29,830.0,Mouse,Electronics,2024-02-11
CUST_0957,2025-11-29,,Cushion,Home,2025-10-10
CUST_0858,2025-05-07,463.0,Vase,Home,2024-07-11
CUST_0354,2025-09-01,213.0,Clock,Home,2025-03-15
CUST_0194,2025-09-27,432.0,Monitor,Electronics,2025-04-02
CUST_0045,2025-09-21,381.0,Vase,Home,2025-08-12
CUST_0680,2024-09-13,84.0,T-Shirt,Clothing,2024-04-11
CUST_0891,2024-09-18,289.0,T-Shirt,Clothing,2024-06-08
CUST_0148,2025-09-16,58.0,Rug,Home,2025-06-04
CUST_0347,2025-06-18,352.0,Vase,Home,2024-08-03
CUST_0691,2025-11-13,340.0,Jacket,Clothing,2025-02-13
CUST_0894,2025-08-21,110.0,Monitor,Electronics,2025-04-05
CUST_0295,2025-05-01,242.0,Lamp,Home,2025-01-05
CUST_0721,2024-04-03,375.0,Jeans,Clothing,2023-12-23
CUST_0333,2025-11-11,406.0,Mouse,Electronics,2025-08-02
CUST_0544,2025-08-30,107.0,Rug,Home,2024-07-05
CUST_0392,2025-07-20,274.0,Rug,Home,2024-09-06
CUST_0473,2025-09-25,150.0,Sneakers,Clothing,2024-11-03
CUST_0477,2025-04-22,100.0,Clock,Home,2024-11-26
CUST_0602,2025-02-17,373.0,Vase,Home,2024-04-17
CUST_0204,2025-05-01,141.0,T-Shirt,Clothing,2024-10-17
CUST_0303,2025-03-07,,Keyboard,Electronics,2024-05-09
CUST_0797,2025-07-20,446.0,Vase,Home,2025-07-08
CUST_0819,2024-12-01,132.0,Cushion,Home,2024-08-06
CUST_0695,2025-11-28,341.0,Rug,Home,2024-01-23
CUST_0041,2025-06-02,316.0,T-Shirt,Clothing,2024-12-26
CUST_0932,2025-01-27,109.0,Sneakers,Clothing,2024-08-29
CUST_0898,2025-07-21,487.0,Clock,Home,2025-04-19
CUST_0936,2025-09-30,402.0,Jacket,Clothing,2024-08-04
